;mmol/l
;Br
1;0.0
2;0.0
3;0.06192595005770149
4;0.12441174920786208
5;0.12502786083389875
6;0.12508975240633077
7;0.1870218944346364
8;0.18758236275229884
9;0.18763868720867818
10;0.18764432243981563
11;0.24957083604849511
12;0.2501307414963307
13;0.25018700966544866
14;0.2501926392678572
15;0.2501932022559623
16;0.25019325855505153
17;0.2501932641849632
18;0.25019326474795434
19;0.2501932648042535
20;0.2501932648098834
21;0.2501932648104464
22;0.25019326481050275
23;0.25019326481050835
24;0.25019326481050896
25;0.25019326481050896
26;0.25019326481050896
27;0.25019326481050896
28;0.25019326481050896
29;0.25019326481050896
30;0.25019326481050896
31;0.25019326481050896
32;0.25019326481050896
33;0.25019326481050896
34;0.25019326481050896
35;0.25019326481050896
36;0.25019326481050896
37;0.25019326481050896
38;0.25019326481050896
39;0.25019326481050896
40;0.25019326481050896
41;0.25019326481050896
42;0.25019326481050896
43;0.25019326481050896
44;0.25019326481050896
45;0.25019326481050896
46;0.25019326481050896
47;0.25019326481050896
48;0.25019326481050896
49;0.25019326481050896
50;0.25019326481050896
51;0.25019326481050896
52;0.25019326481050896
53;0.25019326481050896
54;0.25019326481050896
55;0.25019326481050896
56;0.25019326481050896
57;0.25019326481050896
58;0.25019326481050896
59;0.25019326481050896
60;0.25019326481050896
61;0.25019326481050896
62;0.25019326481050896
63;0.25019326481050896
64;0.25019326481050896
65;0.25019326481050896
66;0.25019326481050896
67;0.25019326481050896
68;0.25019326481050896
69;0.25019326481050896
70;0.25019326481050896
71;0.25019326481050896
72;0.25019326481050896
73;0.25019326481050896
74;0.25019326481050896
75;0.25019326481050896
76;0.25019326481050896
77;0.25019326481050896
78;0.25019326481050896
79;0.25019326481050896
80;0.25019326481050896
81;0.25019326481050896
82;0.25019326481050896
83;0.25019326481050896
84;0.25019326481050896
85;0.25019326481050896
86;0.25019326481050896
87;0.25019326481050896
88;0.25019326481050896
89;0.25019326481050896
90;0.25019326481050896
91;0.25019326481050896
92;0.25019326481050896
93;0.25019326481050896
94;0.25019326481050896
95;0.25019326481050896
96;0.25019326481050896
97;0.25019326481050896
98;0.25019326481050896
99;0.25019326481050896
100;0.25019326481050896
101;0.25019326481050896
102;0.25019326481050896
103;0.25019326481050896
104;0.25019326481050896
105;0.25019326481050896
106;0.25019326481050896
107;0.25019326481050896
108;0.25019326481050896
109;0.25019326481050896
110;0.25019326481050896
111;0.25019326481050896
112;0.25019326481050896
113;0.25019326481050896
114;0.25019326481050896
115;0.25019326481050896
116;0.25019326481050896
117;0.25019326481050896
118;0.25019326481050896
119;0.25019326481050896
120;0.25019326481050896
121;0.25019326481050896
122;0.25019326481050896
123;0.25019326481050896
124;0.25019326481050896
125;0.25019326481050896
126;0.25019326481050896
127;0.25019326481050896
128;0.25019326481050896
129;0.25019326481050896
130;0.25019326481050896
131;0.25019326481050896
132;0.25019326481050896
133;0.25019326481050896
134;0.25019326481050896
135;0.25019326481050896
136;0.25019326481050896
137;0.25019326481050896
138;0.25019326481050896
139;0.25019326481050896
140;0.25019326481050896
141;0.25019326481050896
142;0.25019326481050896
143;0.25019326481050896
144;0.25019326481050896
145;0.25019326481050896
146;0.25019326481050896
147;0.25019326481050896
148;0.25019326481050896
149;0.25019326481050896
150;0.25019326481050896
151;0.25019326481050896
152;0.25019326481050896
153;0.25019326481050896
154;0.25019326481050896
155;0.25019326481050896
156;0.25019326481050896
157;0.25019326481050896
158;0.25019326481050896
159;0.25019326481050896
160;0.25019326481050896
161;0.25019326481050896
162;0.25019326481050896
163;0.25019326481050896
164;0.25019326481050896
165;0.25019326481050896
166;0.25019326481050896
167;0.25019326481050896
168;0.25019326481050896
169;0.25019326481050896
170;0.25019326481050896
171;0.25019326481050896
172;0.25019326481050896
173;0.25019326481050896
174;0.25019326481050896
175;0.25019326481050896
176;0.25019326481050896
177;0.25019326481050896
178;0.25019326481050896
179;0.25019326481050896
180;0.25019326481050896
181;0.25019326481050896
182;0.25019326481050896
183;0.25019326481050896
184;0.25019326481050896
185;0.25019326481050896
186;0.25019326481050896
187;0.25019326481050896
188;0.25019326481050896
189;0.25019326481050896
190;0.25019326481050896
191;0.25019326481050896
192;0.25019326481050896
193;0.25019326481050896
194;0.25019326481050896
195;0.25019326481050896
196;0.25019326481050896
197;0.25019326481050896
198;0.25019326481050896
199;0.25019326481050896
200;0.25019326481050896
201;0.25019326481050896
202;0.25019326481050896
203;0.25019326481050896
204;0.25019326481050896
205;0.25019326481050896
206;0.25019326481050896
207;0.25019326481050896
208;0.25019326481050896
209;0.25019326481050896
210;0.25019326481050896
211;0.25019326481050896
212;0.25019326481050896
213;0.25019326481050896
214;0.25019326481050896
215;0.25019326481050896
216;0.25019326481050896
217;0.25019326481050896
218;0.25019326481050896
219;0.25019326481050896
220;0.25019326481050896
221;0.25019326481050896
222;0.25019326481050896
223;0.25019326481050896
224;0.25019326481050896
225;0.25019326481050896
226;0.25019326481050896
227;0.25019326481050896
228;0.25019326481050896
229;0.25019326481050896
230;0.25019326481050896
231;0.25019326481050896
232;0.25019326481050896
233;0.25019326481050896
234;0.25019326481050896
235;0.25019326481050896
236;0.25019326481050896
237;0.25019326481050896
238;0.25019326481050896
239;0.25019326481050896
240;0.25019326481050896
241;0.25019326481050896
242;0.25019326481050896
243;0.25019326481050896
244;0.25019326481050896
