;mmol/l
;Br
1;0.0
2;0.0
3;0.0
4;0.0
5;0.0
6;0.0
7;0.0634587706036842
8;0.12749124795063096
9;0.1281226098644408
10;0.19164480401017167
11;0.19222485599063752
12;0.2557419163174288
13;0.25632145488773517
14;0.31983846387322784
15;0.3204179973094015
16;0.38393500578148093
17;0.38451453916631323
18;0.4480315476332584
19;0.5120698516212615
20;0.5127017962277338
21;0.5127652780393325
22;0.5127716291034937
23;0.5127722642387493
24;0.5762310983562475
25;0.6402635820545786
26;0.6408949446035268
27;0.6409583682090874
28;0.640964713452642
29;0.640965348005837
30;0.640965411461445
31;0.6409654178070086
32;0.640965418441565
33;0.6409654185050206
34;0.6409654185113661
35;0.6409654185120007
36;0.6409654185120642
37;0.6409654185120706
38;0.6409654185120711
39;0.6409654185120712
40;0.6409654185120712
41;0.6409654185120712
42;0.6409654185120712
43;0.6409654185120712
44;0.6409654185120712
45;0.6409654185120712
46;0.6409654185120712
47;0.6409654185120712
48;0.6409654185120712
49;0.6409654185120712
50;0.6409654185120712
51;0.6409654185120712
52;0.6409654185120712
53;0.6409654185120712
54;0.6409654185120712
55;0.6409654185120712
56;0.6409654185120712
57;0.6409654185120712
58;0.6409654185120712
59;0.6409654185120712
60;0.6409654185120712
61;0.6409654185120712
62;0.6409654185120712
63;0.6409654185120712
64;0.6409654185120712
65;0.6409654185120712
66;0.6409654185120712
67;0.6409654185120712
68;0.6409654185120712
69;0.6409654185120712
70;0.6409654185120712
71;0.6409654185120712
72;0.6409654185120712
73;0.6409654185120712
74;0.6409654185120712
75;0.6409654185120712
76;0.6409654185120712
77;0.6409654185120712
78;0.6409654185120712
79;0.6409654185120712
80;0.6409654185120712
81;0.6409654185120712
82;0.6409654185120712
83;0.6409654185120712
84;0.6409654185120712
85;0.6409654185120712
86;0.6409654185120712
87;0.6409654185120712
88;0.6409654185120712
89;0.6409654185120712
90;0.6409654185120712
91;0.6409654185120712
92;0.6409654185120712
93;0.6409654185120712
94;0.6409654185120712
95;0.6409654185120712
96;0.6409654185120712
97;0.6409654185120712
98;0.6409654185120712
99;0.6409654185120712
100;0.6409654185120712
101;0.6409654185120712
102;0.6409654185120712
103;0.6409654185120712
104;0.6409654185120712
105;0.6409654185120712
106;0.6409654185120712
107;0.6409654185120712
108;0.6409654185120712
109;0.6409654185120712
110;0.6409654185120712
111;0.6409654185120712
112;0.6409654185120712
113;0.6409654185120712
114;0.6409654185120712
115;0.6409654185120712
116;0.6409654185120712
117;0.6409654185120712
118;0.6409654185120712
119;0.6409654185120712
120;0.6409654185120712
121;0.6409654185120712
122;0.6409654185120712
123;0.6409654185120712
124;0.6409654185120712
125;0.6409654185120712
126;0.6409654185120712
127;0.6409654185120712
128;0.6409654185120712
129;0.6409654185120712
130;0.6409654185120712
131;0.6409654185120712
132;0.6409654185120712
133;0.6409654185120712
134;0.6409654185120712
135;0.6409654185120712
136;0.6409654185120712
137;0.6409654185120712
138;0.6409654185120712
139;0.6409654185120712
140;0.6409654185120712
141;0.6409654185120712
142;0.6409654185120712
143;0.6409654185120712
144;0.6409654185120712
145;0.6409654185120712
146;0.6409654185120712
147;0.6409654185120712
148;0.6409654185120712
149;0.6409654185120712
150;0.6409654185120712
151;0.6409654185120712
152;0.6409654185120712
153;0.6409654185120712
154;0.6409654185120712
155;0.6409654185120712
156;0.6409654185120712
157;0.6409654185120712
158;0.6409654185120712
159;0.6409654185120712
160;0.6409654185120712
161;0.6409654185120712
162;0.6409654185120712
163;0.6409654185120712
164;0.6409654185120712
165;0.6409654185120712
166;0.6409654185120712
167;0.6409654185120712
168;0.6409654185120712
169;0.6409654185120712
170;0.6409654185120712
171;0.6409654185120712
172;0.6409654185120712
173;0.6409654185120712
174;0.6409654185120712
175;0.6409654185120712
176;0.6409654185120712
177;0.6409654185120712
178;0.6409654185120712
179;0.6409654185120712
180;0.6409654185120712
181;0.6409654185120712
182;0.6409654185120712
183;0.6409654185120712
184;0.6409654185120712
185;0.6409654185120712
186;0.6409654185120712
187;0.6409654185120712
188;0.6409654185120712
189;0.6409654185120712
190;0.6409654185120712
191;0.6409654185120712
192;0.6409654185120712
193;0.6409654185120712
194;0.6409654185120712
195;0.6409654185120712
196;0.6409654185120712
197;0.6409654185120712
198;0.6409654185120712
199;0.6409654185120712
200;0.6409654185120712
201;0.6409654185120712
202;0.6409654185120712
203;0.6409654185120712
204;0.6409654185120712
205;0.6409654185120712
206;0.6409654185120712
207;0.6409654185120712
208;0.6409654185120712
209;0.6409654185120712
210;0.6409654185120712
211;0.6409654185120712
212;0.6409654185120712
213;0.6409654185120712
214;0.6409654185120712
215;0.6409654185120712
216;0.6409654185120712
217;0.6409654185120712
218;0.6409654185120712
219;0.6409654185120712
220;0.6409654185120712
221;0.6409654185120712
222;0.6409654185120712
223;0.6409654185120712
224;0.6409654185120712
225;0.6409654185120712
226;0.6409654185120712
227;0.6409654185120712
228;0.6409654185120712
229;0.6409654185120712
230;0.6409654185120712
231;0.6409654185120712
232;0.6409654185120712
233;0.6409654185120712
234;0.6409654185120712
235;0.6409654185120712
236;0.6409654185120712
237;0.6409654185120712
238;0.6409654185120712
239;0.6409654185120712
240;0.6409654185120712
241;0.6409654185120712
242;0.6409654185120712
243;0.6409654185120712
244;0.6409654185120712
245;0.6409654185120712
246;0.6409654185120712
247;0.6409654185120712
