;mmol/l
;Br
385;1.7079891041259044e-17
386;1.545452451010833e-17
387;1.3983832054699853e-17
388;1.2653094490623174e-17
389;1.1448993349060481e-17
390;1.0359477581074745e-17
391;9.373642946661066e-18
392;8.48162288144777e-18
393;7.67448974880396e-18
394;6.944165489051206e-18
395;6.283340771527501e-18
396;5.685401840349009e-18
397;5.144364321718284e-18
398;4.654813330299908e-18
399;4.21184927522793e-18
400;3.811038823353862e-18
