;mmol/l
;Br
1;0.21872846025682363
2;0.21332803533117534
3;0.20806094737202563
4;0.20292390427794188
5;0.19791369522976532
6;0.19302718868374466
7;0.18826133041421936
8;0.18361314160462916
9;0.17907971698565667
10;0.17465822301933953
11;0.17034589612801693
12;0.1661400409670037
13;0.1620380287399119
14;0.15803729555556792
15;0.1541353408254966
16;0.15032972570097217
17;0.14661807154865852
18;0.14299805846388597
19;0.13946742382063498
20;0.13602396085732169
21;0.13266551729749976
22;0.12938999400461773
23;0.12619534366999025
24;0.12307956953316337
25;0.12004072413387462
26;0.1170769080948266
27;0.11418626893451453
28;0.11136699990936491
29;0.108617338884462
30;0.10593556723215623
31;0.10332000875786583
32;0.10076902865240066
33;0.09828103247015343
34;0.09585446513251906
35;0.09348780995592003
36;0.09117958770382986
37;0.08892835566220195
38;0.08673270673772647
39;0.08459126857835117
40;0.08250270271551674
41;0.08046570372757031
42;0.07847899842383448
43;0.07654134504882168
44;0.07465153250609652
45;0.0728083796013012
46;0.07101073430387056
47;0.06925747302697528
48;0.06754749992524389
49;0.06587974620982341
50;0.06425316948035176
51;0.06266675307342343
52;0.06111950542714184
53;0.059610459461360905
54;0.058138671973228404
55;0.05670322304765348
56;0.055303215482329846
57;0.05393777422695504
58;0.052606045836295585
59;0.05130719793675589
60;0.05004041870611764
61;0.04880491636612453
62;0.04759991868759504
63;0.046424672507754124
64;0.04527844325948181
65;0.04416051451218507
66;0.043070187524005134
67;0.042006780805081224
68;0.04096962969159723
69;0.039958085930345055
70;0.0389715172735454
71;0.03800930708367221
72;0.03707085394803422
73;0.03615557130287242
74;0.035262887066738614
75;0.034392243282925866
76;0.03354309577072745
77;0.03271491378530612
78;0.031907179685961407
79;0.031119388612587215
80;0.03035104817011794
81;0.02960167812076541
82;0.028870810083854736
83;0.028157987243071055
84;0.027462764060934546
85;0.026784706000324933
86;0.026123389252881664
87;0.025478400474109913
88;0.02484933652502676
89;0.02423580422018628
90;0.023637420081925778
91;0.023053810100679778
92;0.02248460950121188
93;0.021929462514618366
94;0.02138802215596106
95;0.020859950007390413
96;0.020344916006623363
97;0.019842598240643647
98;0.0193526827444957
99;0.01887486330504633
100;0.01840884126959155
101;0.01795432535918887
102;0.017511031486598563
103;0.017078682578719806
104;0.01665700840341103
105;0.016245745400586008
106;0.015844636517480234
107;0.015453431047984556
108;0.015071884475945718
109;0.014699758322335811
110;0.014336819996195092
111;0.013982842649255077
112;0.013637605034150988
113;0.01330089136613494
114;0.012972491188203482
115;0.01265219923955506
116;0.012339815327295382
117;0.012035144201310332
118;0.011737995432228272
119;0.011448183292395529
120;0.011165526639790514
121;0.010889848804804092
122;0.010620977479815323
123;0.010358744611493581
124;0.010102986295759769
125;0.009853542675340913
126;0.009610257839854171
127;0.009372979728357763
128;0.009141560034307954
129;0.00891585411286261
130;0.008695720890473484
131;0.008481022776710628
132;0.00827162557826393
133;0.008067398415067898
134;0.00786821363849738
135;0.007673946751583008
136;0.007484476331196534
137;0.0072996839521574305
138;0.007119454113213294
139;0.006943674164847809
140;0.006772234238871123
141;0.006605027179748657
142;0.00644194847762541
143;0.006282896203003888
144;0.006127770943034869
145;0.005976475739381111
146;0.005828916027615257
147;0.005684999578113975
148;0.005544636438411447
149;0.005407738876976157
150;0.00527422132837581
151;0.005144000339796168
152;0.005016994518880315
153;0.0048931244828557844
154;0.0047723128089177565
155;0.004654483985837263
156;0.004539564366764224
157;0.0044274821231957695
158;0.0043181672000810805
159;0.00421155127203471
160;0.004107567700630986
161;0.004006151492752826
162;0.003907239259968935
163;0.0038107691789139478
164;0.003716680952646847
165;0.003624915772963374
166;0.0035354162836390233
167;0.0034481265445795114
168;0.003362991996856401
169;0.003279959428606005
170;0.0031989769417702218
171;0.003119993919658579
172;0.003042960995311143
173;0.002967830020642557
174;0.0028945540363479387
175;0.0028230872425517627
176;0.002753384970181466
177;0.0026854036530478214
178;0.0026191008006146324
179;0.0025544349714407945
180;0.0024913657472780165
181;0.002429853707808123
182;0.0023698604060040595
183;0.0023113483440992473
184;0.0022542809501502705
185;0.0021986225551782054
186;0.002144338370874363
187;0.0020913944678564544
188;0.0020397577544616196
189;0.001989395956063072
190;0.001940277594897395
191;0.0018923719703899228
192;0.001845649139965879
193;0.001800079900335289
194;0.0017556357692399811
195;0.0017122889676512397
196;0.0016700124024070144
197;0.0016287796492778109
198;0.0015885649364506796
199;0.001549343128421007
200;0.0015110897102819933
201;0.001473780772402049
202;0.0014373929954804917
203;0.0014019036359722195
204;0.0013672905118722657
205;0.001333531988851313
206;0.001300606966733541
207;0.001268494866308327
208;0.0012371756164675659
209;0.0012066296416605804
210;0.001176837849658759
211;0.0011477816196222958
212;0.0011194427904615593
213;0.001091803649485814
214;0.0010648469213322225
215;0.0010385557571681704
216;0.0010129137241602062
217;0.0009879047952029822
218;0.0009635133389017882
219;0.0009397241098024285
220;0.0009165222388623094
221;0.0008938932241568095
222;0.0008718229218151009
223;0.0008502975371797696
224;0.0008293036161847096
225;0.000808828036945887
226;0.0007888580015597416
227;0.0007693810281040784
228;0.0007503849428364566
229;0.0007318578725852103
230;0.0007137882373283239
231;0.0006961647429555458
232;0.0006789763742092008
233;0.0006622123877992917
234;0.0006458623056885995
235;0.0006299159085435639
236;0.0006143632293468704
237;0.0005991945471677388
238;0.0005844003810860237
239;0.0005699714842663342
240;0.0005558988381784564
241;0.0005421736469604825
242;0.0005287873319211088
243;0.0005157315261776732
244;0.0005029980694265844
245;0.0004905790028428631
246;0.0004784665641056198
247;0.00046665318254635084
248;0.00045513147441702276
249;0.000443894238274992
250;0.0004329344504818661
251;0.00042224526081350314
252;0.0004118199881783984
253;0.00040165211644178255
254;0.0003917352903528288
255;0.0003820633115724107
256;0.00037263013479894115
257;0.0003634298639898613
258;0.00035445674867642035
259;0.0003457051803694485
260;0.0003371696890538656
261;0.00032884493976974587
262;0.0003207257292777934
263;0.00031280698280714735
264;0.0003050837508834872
265;0.00029755120623544757
266;0.00029020464077741855
267;0.0002830394626668381
268;0.0002760511934341403
269;0.00026923546518356777
270;0.00026258801786309264
271;0.00025610469660174704
272;0.00024978144911269286
273;0.00024361432316040985
274;0.00023759946409042127
275;0.00023173311242000768
276;0.00022601160148840935
277;0.00022043135516504317
278;0.00021498888561430435
279;0.00020968079111555654
280;0.00020450375393694462
281;0.00019945453826170515
282;0.00019452998816567546
283;0.00018972702564473747
284;0.0001850426486909662
285;0.00018047392941627588
286;0.00017601801222239547
287;0.0001716721120160266
288;0.0001674335124680689
289;0.0001632995643158271
290;0.00015926768370713436
291;0.00015533535058536148
292;0.00015150010711429917
293;0.00014775955614193005
294;0.00014411135970213135
295;0.00014055323755336906
296;0.00013708296575347368
297;0.00013369837526960344
298;0.0001303973506225279
299;0.0001271778285643854
300;0.00012403779678908506
301;0.0001209752926745507
302;0.00011798840205601792
303;0.00011507525802961833
304;0.00011223403978550479
305;0.00010946297146978503
306;0.0001067603210745559
307;0.00010412439935534172
308;0.00010155355877526129
309;9.904619247526424e-05
310;9.660073326979123e-05
311;9.421565266723248e-05
312;9.188945991457051e-05
313;8.962070106561074e-05
314;8.740795807221836e-05
315;8.524984789799144e-05
316;8.314502165381873e-05
317;8.109216375477981e-05
318;7.908999109786141e-05
319;7.713725225997687e-05
320;7.523272671578533e-05
321;7.337522407482416e-05
322;7.156358333747592e-05
323;6.979667216930598e-05
324;6.807338619331617e-05
325;6.63926482996739e-05
326;6.475340797248295e-05
327;6.315464063317707e-05
328;6.159534700012497e-05
329;6.007455246404649e-05
330;5.8591306478850614e-05
331;5.714468196751285e-05
332;5.5733774742621995e-05
333;5.435770294123364e-05
334;5.301560647367679e-05
335;5.1706646485970405e-05
336;5.043000483551187e-05
337;4.918488357971146e-05
338;4.797050447725223e-05
339;4.6786108501663596e-05
340;4.5630955366905536e-05
341;4.45043230646654e-05
342;4.340550741307929e-05
343;4.2333821616595556e-05
344;4.1288595836704935e-05
345;4.026917677327006e-05
346;3.9274927256191376e-05
347;3.830522584715517e-05
348;3.735946645121438e-05
349;3.643705793795932e-05
350;3.5537423772042355e-05
351;3.466000165282419e-05
